Product;Synonym
Módulo de Som;módulo de áudio, módulo amplificador de som, módulo de potência de áudio
Modulo de Som Estéreo;módulo amplificador, módulo de potência, módulo de áudio estéreo
Modulo de Som Mono;módulo amplificador mono, módulo de potência mono, módulo de áudio mono
Modulo Estéreo;módulo de áudio estéreo, módulo amplificador estéreo, módulo de potência estéreo
Moldura de Som;moldura para áudio, moldura de apoio para som, moldura de fixação para som
Moldura de Som para Cd;moldura de apoio para cd player, moldura para cd player, moldura de fixação para cd player
Moldura de Som para Painel;moldura de apoio para painel de som, moldura para painel de som, moldura de fixação para painel de som
Moldura Redutora;moldura adaptadora, moldura redutora de tamanho, moldura de encaixe
Multi Limpador;limpador versátil, limpador multifuncional, limpador para diversas superfícies
Multilimpador de Limpeza Pesada;limpador de alta performance, limpador para limpeza profunda, limpador para limpeza pesada
Neutralizador de Odor;eliminador de odores, neutralizante de cheiros, absorvedor de maus odores
Núcleo de Válvula do Pneu;núcleo da válvula do pneu, núcleo para válvula de pneu, núcleo da haste da válvula
Óculos para Solda;máscara de solda, visor de solda, escudo de soldagem, proteção para soldagem, óculos de proteção para soldagem, óculos para brasagem, óculos para estanho
Óleo de Câmbio;lubrificante de câmbio, óleo para caixa de câmbio, óleo de transmissão
Óleo de Câmbio Automático;lubrificante de câmbio automático, óleo de transmissão automática, fluido de transmissão automática
Óleo de Câmbio e Diferencial;lubrificante de câmbio e diferencial, óleo de transmissão e diferencial, fluido de transmissão e diferencial
Óleo de Direção Hidráulica;lubrificante de direção hidráulica, fluido para direção hidráulica, óleo para sistema de direção
Óleo de Motor;óleo lubrificante de motor, lubrificante para motor, lubrificante automotivo
Óleo Hidráulico;fluido hidráulico, lubrificante para sistemas hidráulicos, óleo para equipamentos hidráulicos
Óleo Multiuso para Máquina;óleo para máquinas, óleo multiuso, óleo lubrificante
Óleo para Corrente;óleo lubrificante para corrente, óleo para corrente de motosserra, óleo para corrente de bicicleta
Óleo para diferencial;óleo para diferencial, óleo lubrificante de diferencial, óleo de engrenagem
Óleo para Transmissões Automáticas;lubrificante para transmissões automáticas, fluido de transmissão automática, óleo de câmbio automático
Olhal para Nylon;conector de olhal de nylon, adaptador de olhal de nylon, união de olhal de nylon
Olhal para Tubo de Nylon;conector de olhal para tubulação de nylon, adaptador de olhal para tubo de nylon, união de olhal para tubulação de nylon
Organizador de Banco;tampa da caixa de ferramentas, mala para ferramentas, maleta ferramentas
Organizador de Porta Malas;organizador de bagageiro, organizador de porta-malas, organizador de carga
Organizador para Malas;bolsa organizadora, organizador de bagagem, organizador de mala
Organizadores;organizador de veículo, organizador de compartimento, organizador de espaço
Pano de Chão Saco;pano de limpeza, pano de chão multiuso, pano de limpeza multiuso
Pano em Microfibra;toalha de limpeza em microfibra, toalha de limpeza multiuso, toalha de limpeza reutilizável
Pano Esponja Multiuso;esponja multiuso, pano esponjoso, esponja de limpeza multiuso
Pano Malha para Limpeza de Vidro;pano para limpeza de vidro, pano para limpeza de janelas, pano de microfibra para vidro
Pano Microfibra;pano de microfibra, pano de limpeza de microfibra, pano de microfibra multiuso
Pano Multiuso com Varias Cores;pano multiuso, pano de limpeza multiuso, pano de uso geral
Pano Saco Alvejado;pano alvejado, pano de saco, pano branco de algodão
Pano Umedecido Multiuso;pano umedecido, toalha umedecida
Parafuso Allen;parafuso com cabeça sextavada interna, parafuso hexagonal interno, parafuso allen com cabeça sextavada
Parafuso Coletor do Escape;parafuso de fixação do coletor de escape, parafuso do coletor de admissão, parafuso de escape
Parafuso Coxim;parafuso do coxim do motor, parafuso do amortecedor, parafuso do coxim do câmbio
Parafuso da Alavanca do Afogador;parafuso de fixação da alavanca do afogador, parafuso da alavanca do choke, parafuso do controle do afogador
Parafuso da Articulação do Garfo de Câmbio;parafuso da articulação do câmbio, parafuso da alavanca de câmbio, parafuso da articulação da alavanca de câmbio
Parafuso da Biela;parafuso do pistão, parafuso de conexão da biela, parafuso da haste da biela
Parafuso da Bóia de Tanque;parafuso de fixação da bóia do tanque, parafuso da bóia do combustível, parafuso de fixação da boia do tanque de combustível
Parafuso da Boia do Tanque;parafuso de fixação da boia do tanque de combustível, parafuso da bóia de tanque, parafuso de fixação da bóia do combustível
Parafuso da Bomba de Combustível;parafuso de fixação da bomba de combustível, parafuso da flange da bomba de combustível, parafuso da tampa da bomba de combustível
Parafuso da Caixa Satélite;parafuso de fixação da caixa satélite, parafuso do diferencial, parafuso da flange do diferencial
Parafuso da Caraça do Câmbio;parafuso de fixação da carcaça do câmbio, parafuso da tampa do câmbio, parafuso da flange do câmbio
Parafuso da Carcaça da Embreagem;parafuso da tampa da embreagem, parafuso da carcaça do platô, parafuso da capa da embreagem
Parafuso da Carcaça do Distribuidor;parafuso da tampa do distribuidor, parafuso da capa do distribuidor, parafuso da carcaça do delco
Parafuso da Cinta da Cuica de Freio;parafuso da placa da cuica de freio, parafuso da chapa de freio, parafuso da alavanca de freio
Parafuso da Coroa;parafuso da engrenagem da coroa, parafuso da roda dentada, parafuso da coroa e pinhão
Parafuso da Cruzeta do Cardan;parafuso da junta universal, parafuso da cruzeta da transmissão, parafuso da união do cardan
Parafuso da Curva do Filtro de Ar;parafuso da conexão do filtro de ar, parafuso do cotovelo do filtro de ar, parafuso da curva do tubo de admissão de ar
Parafuso da Dobradica do Capô;parafuso da articulação do capô, parafuso da sustentação do capô, parafuso da fixação do capô
Parafuso da Guia da Corrente de Comando;parafuso do esticador da corrente de comando, parafuso da corrediça da corrente de comando, parafuso da guia da corrente de distribuição
Parafuso da Homocinética da Roda;parafuso da junta homocinética, parafuso da transmissão da roda, parafuso da articulação esférica da roda
Parafuso da Maquina Vidro;parafuso do regulador de vidro, parafuso do elevador de vidro, parafuso da manivela do vidro
Parafuso da Polia;parafuso do tensor da correia, parafuso da polia do alternador, parafuso da polia da bomba d'água
Parafuso da Tampa da Carcaça do Diferencial;parafuso da tampa do diferencial, parafuso do flange do diferencial, parafuso do cárter do diferencial
Parafuso da Tampa de Distribuicao;parafuso da tampa do distribuidor, parafuso da tampa da bomba de óleo, parafuso da tampa do comando de válvulas
Parafuso da Tampa de Válvula;parafuso da tampa do cabeçote, parafuso da tampa do balanceiro, parafuso da tampa do tucho
Parafuso da Tampa Distribuição;parafuso da tampa do distribuidor, parafuso da tampa da bomba de óleo, parafuso da tampa do comando de válvulas
Parafuso da Tampa do Motor;parafuso da tampa do cárter, parafuso da tampa do coletor de admissão, parafuso da tampa do coletor de escape
Parafuso da Trava;parafuso de segurança, parafuso anti-roubo, parafuso de bloqueio
Parafuso da Trava da Pastilha de Freio;parafuso do pino da trava da pastilha, parafuso da chaveta da pastilha, parafuso da fixação da trava da pastilha
Parafuso de Acoplamento;parafuso de junção, parafuso de união, parafuso de conexão
Parafuso de Articulação do Garfo de Câmbio;parafuso de conexão do garfo, parafuso de união da alavanca, parafuso da transmissão
Parafuso de Barra Torção;parafuso da suspensão, parafuso de fixação da barra estabilizadora, parafuso do braço de suspensão
Parafuso de Fixação;parafuso de montagem, parafuso de fixação de peças, parafuso de suporte
Parafuso de Fixação da Coroa;parafuso de montagem da coroa, parafuso de fixação da engrenagem, parafuso da transmissão
Parafuso de Fixação da Cruzeta;parafuso de montagem da cruzeta, parafuso de fixação do cardan, parafuso da junta universal
Parafuso de Fixação da Grade;parafuso de montagem da grade, parafuso de fixação do radiador, parafuso da frente do carro
Parafuso de Fixação do Cavalete;parafuso de montagem do cavalete, parafuso da suspensão, parafuso da roda
Parafuso de Fixação do Garfo;parafuso da suspensão, parafuso da articulação, parafuso da transmissão
Parafuso de Fixação Garfo;parafuso da suspensão, parafuso da articulação, parafuso da transmissão
Parafuso de Fixação Terceiro Eixo;parafuso de montagem do terceiro eixo, parafuso da suspensão, parafuso da roda
Parafuso de Regulagem da Coroa;parafuso de ajuste da coroa, parafuso de regulagem do diferencial, parafuso da transmissão
Parafuso de Regulagem de Válvula;parafuso de ajuste de válvula, parafuso de regulagem do motor, parafuso da cabeça do motor
Parafuso de Regulagem do Compressor;parafuso de ajuste do compressor, parafuso de regulagem do ar-condicionado, parafuso da unidade de compressor
Parafuso de Roda;parafuso cromado, parafuso de liga leve, parafuso de segurança
Parafuso de União do Servo Embreagem;parafuso de conexão do servo embreagem, parafuso da embreagem, parafuso da transmissão
Parafuso Desatuador da Cuica;parafuso de desmontagem da cuica, parafuso da suspensão, parafuso do freio
Parafuso do Acoplamento;parafuso de junção, parafuso de união, parafuso de conexão
Parafuso do Amortecedor;parafuso da suspensão, parafuso do sistema de amortecimento, parafuso do braço de suspensão
Parafuso do Apoio Braço;parafuso de fixação do apoio braço, parafuso da base do apoio braço, parafuso do suporte do braço central
Parafuso do Braço da Manga de Eixo;parafuso de fixação da manga de eixo, parafuso da suspensão da roda, parafuso do braço oscilante
Parafuso do Braço Reto da Direção;parafuso do braço de direção, parafuso do terminal de direção, parafuso do tirante axial
Parafuso do Cabeçote;prisioneiro do cabeçote, parafuso do bloco do motor, parafuso da junta do cabeçote
Parafuso do Cardan;parafuso de união do cardan, parafuso da cruzeta do cardan, parafuso do eixo cardan
Parafuso do Cárter;parafuso do carter do óleo, parafuso do reservatório de óleo, parafuso do motor
Parafuso do Cavalete D'Agua;parafuso do suporte do radiador, parafuso do radiador, parafuso do suporte do cavalete d'agua
Parafuso do Coletor;parafuso do coletor de admissão, parafuso do coletor de escape, parafuso do coletor de ar
Parafuso do Coxim;parafuso do suporte do motor, parafuso do suporte do câmbio, parafuso do coxim do motor
Parafuso do Cravo;parafuso do grampo, parafuso do clipe, parafuso do pino
Parafuso do Eixo Traseiro;parafuso da suspensão traseira, parafuso do eixo diferencial, parafuso do eixo propulsor
Parafuso do Escape;parafuso do tubo de escape, parafuso do silencioso, parafuso do catalisador
Parafuso do Esticador;parafuso da correia dentada, parafuso do tensor da corrente, parafuso do esticador da correia
Parafuso do Fecho Capô;parafuso do trinco do capô, parafuso do fechamento do capô, parafuso do suporte do capô
Parafuso do Friso Lateral;parafuso do friso de porta, parafuso do acabamento lateral, parafuso do friso decorativo
Parafuso do Injetor de Óleo;parafuso do bico injetor, parafuso da bomba de óleo, parafuso do suporte do injetor
Parafuso do Mancal;parafuso do rolamento, parafuso do suporte do mancal, parafuso do mancal do motor
Parafuso do Parachoque;parafuso do suporte do parachoque, parafuso do fixador do parachoque, parafuso do parafuso do para-choque
Parafuso do Pino de Fixação;parafuso do pino de travamento, parafuso do pino de fixação da suspensão, parafuso do pino do eixo
Parafuso do Pino do Patim Freio;parafuso do pino de fixação do freio, parafuso do pino de fixação do caliper, parafuso do pino guia do freio
Parafuso do Platô da Embreagem;parafuso de fixação do platô, parafuso de embreagem, parafuso do disco de embreagem
Parafuso do Suporte da Sapata de Freio;parafuso de fixação do suporte de freio, parafuso de fixação da sapata, parafuso do suporte do cilindro de freio
Parafuso do Suporte do Alternador;parafuso de fixação do alternador, parafuso do suporte da correia do alternador, parafuso de fixação do suporte da bateria
Parafuso do Suporte do Motor;parafuso de fixação do motor, parafuso de fixação do suporte do motor, parafuso do suporte de transmissão
Parafuso do Tensor da Correia Dentada;parafuso de fixação do tensor, parafuso do tensor da corrente, parafuso do tensor da correia de distribuição
Parafuso do Volante do Motor;parafuso do anel do volante, parafuso de fixação do volante, parafuso de fixação do platô do motor
Parafuso Escape Turbina;parafuso do coletor de escape, parafuso de fixação do silenciador, parafuso da flange de escape
Parafuso Espiral Auxiliar;parafuso de fixação de mola, parafuso de mola helicoidal, parafuso de mola espiral
Parafuso Estabilizador do Câmbio;parafuso de fixação do estabilizador, parafuso do suporte do câmbio, parafuso do amortecedor do câmbio
Parafuso Francês;parafuso de cabeça sextavada, parafuso allen, parafuso de rosca
Parafuso Galvanizado ;parafuso zincado, parafuso com tratamento de superfície, parafuso anti-corrosão
Parafuso Grande do Alto Falante;parafuso de fixação do alto falante, parafuso do suporte de som, parafuso do alto falante automotivo
Parafuso LL;parafuso de cabeça sextavada, parafuso allen, parafuso de rosca
Parafuso Mancal de Suspensão;parafuso de fixação do mancal, parafuso do braço de suspensão, parafuso do suporte do rolamento
Parafuso Medio do Alto Falante;parafuso de fixação do alto falante médio, parafuso de fixação da caixa de som, parafuso do tweeter
Parafuso Oco;parafuso tubular, parafuso vazado, parafuso oco com rosca
Parafuso para Eixo da Alavanca de Embreagem;parafuso de fixação do eixo da embreagem, parafuso do eixo de seleção, parafuso do braço da embreagem
Parafuso para Fixação da Caixa Satélite;parafuso do diferencial, parafuso de fixação do pinhão, parafuso da caixa de engrenagens
Parafuso para Maquina Vidro;parafuso de fixação do vidro elétrico, parafuso do motor do vidro elétrico, parafuso do elevador do vidro
Parafuso para Roda;parafuso cromado, parafuso de liga leve, parafuso de segurança
Parafuso para Tampa Estabilizar;parafuso de fixação da tampa, parafuso do suporte da tampa, parafuso da tampa de proteção
Parafuso Pequeno Chanfrado;parafuso com cabeça cônica, parafuso com cabeça chanfrada, parafuso com cabeça abaulada
Parafuso Sextavado;parafuso hexagonal, parafuso de cabeça sextavada, parafuso de porca sextavada
Parafuso Soberbo;parafuso cabeça chata, parafuso de cabeça escareada, parafuso de cabeça avellanada
Parafuso Volante do Motor;parafuso do cubo da roda, parafuso da polia, parafuso do eixo cardan
para-Sol;protetor de sol, quebra-sol, visor solar
Pasta Abrasiva;pasta de polimento, composto de polimento
Pasta para Montagem de Pneus;pasta lubrificante para montagem de pneus, lubrificante para pneus, massa para montagem de pneus
Pasta para Polimento;pasta de polimento, pasta de lustro, pasta para remover riscos
Pasta Térmica;pasta térmica para cpu, pasta térmica condutiva, pasta térmica para refrigeração
Película Adesiva Farol;película protetora adesiva para farol, filme adesivo para farol, adesivo de proteção para farol
Pino Friso Lateral;pino de acabamento, pino de fixação, pino de sustentação
Pneu;aro de borracha, pneumático, arco de borracha
Pneu Pretinho;brilho para pneus, pneu pretinho em gel, brilho molhado para pneus
Pneu Pretinho em Gel;brilho para pneus, pneu pretinho, gel para pneus
Polidor de Metais;polidor de cromo, polidor de alumínio
Ponteira de Enfeite para Antena;enfeite para ponta de antena, topper de antena, capa decorativa para vareta
Ponteira Decorativa para Antena;ponteira enfeitada para antena, capa decorativa para vareta, topper de antena
Porca de Roda;parafuso de roda, prisioneiro de roda, porca de fixação de roda
Porta Ferramentas;porta-ferramentas, suporte de ferramentas, organizador de ferramentas
Prendedor de Carga;grampos de fixação, grampo de carga, trava de segurança
Presilha Fixação do Painel;presilha de fixação, presilha de sustentação, presilha de acabamento
Presilha Porca da Cinta do Tanque;porca de fixação, porca de sustentação, porca de trava
Pretinho para Pneus;brilho para pneus, pneu pretinho, brilho molhado para pneus
Prisioneiro de Roda;pino de roda, parafuso de roda, eixo de roda
Prisioneiro do Cubo de Roda;pino de roda, parafuso de roda, eixo de roda
Prolongador de Antena;extensor de antena, prolongamento de sinal, cabo extensor para vareta
Prolongador para Antena;extensor de antena, ampliador de sinal, extensor de sinal
Protetor Couro Plásticos;protetor de plásticos, proteção para plásticos, protetor de plásticos automotivo
Protetor de Borda de Vidros e Espelhos;protetor de cantos, protetor de molduras, protetor de quinas
Protetor de Sol;filme de proteção solar, película protetora de raios uv, insulfilm para carros
Protetor de Vareta para Rádio;protetor de antena, capa de proteção para antena, capa protetora para rádio
Protetor Impermeabilizante de Tecidos;protetor de tecidos, selante de tecidos, spray protetor
Protetor para Correias;protetor de correia, lubrificante para correias, spray protetor de correia
Protetor Solar;para-sol, quebra-sol, visor solar
Protetor Solar Automotivo;filme de proteção solar, película protetora de raios uv, insulfilm para carros
Protetor Solar Dobrável;protetor solar portátil, guarda-sol automotivo, toldo solar retrátil
Rádio Automotivo;aparelho de som para carro, sistema de áudio automotivo, rádio de carro
Rádio Fm;rádio de frequência modulada, aparelho de som fm, transmissor de fm
Rádio Px;rádio de banda cidadã, rádio px cb, rádio de comunicação
Rede de Contenção de Carga;rede de proteção de cargas, rede de segurança para transporte, rede de amarração de carga
Rede de Separação de Carga Baú;rede para divisão de cargas, rede para organização de baú, rede de separação de cargas
Rede Elástica para Fixação de Carga;rede de elástico para prender carga, rede elástica de amarração de cargas, rede de segurança elástica para transporte
Redução de Ar Comprimido;conector de redução de ar, adaptador de redução de ar, união de redução de ar
Redutor de Soquete;adaptador de soquete, conversor de soquete, redutor de encaixe de soquete
Redutor Macho;conector de redutor macho, adaptador de redutor macho, união de redutor macho
Removedor de Residuos;removedor de manchas, removedor de cola, removedor de graxa
Removedor Tira grude;removedor de adesivos, removedor de chiclete, removedor de cola
Renovador de Couro;rejuvenescedor de couro, restaurador de couro, tonalizante para couro
Renovador de Volante e Parachoque;renovador de volante, renovador de plásticos automotivo, renovador de plásticos de interior
Reparo de Pneu;reparador de pneus, selante para pneus, remendo para pneus
Reprodutor de Áudio e Vídeo;player multimídia, tocador de mídia, reprodutor de mídia
Reprodutor de Vídeo;tocador de vídeo, player de vídeo, reprodutor de filmes
Reprodutor de Vídeo Dvd;tocador de dvd, leitor de dvd, reprodutor de dvd
Reprodutor de Vídeo Multimidia;player multimídia, tocador de vídeo, reprodutor de filmes
Reprodutor de Vídeo Receiver;receptor de mídia, player de vídeo, aparelho de som com reprodutor de vídeo
Revitalizador de Couro;limpa e revitaliza couros
Revitalizador de Parachoques;revitalizador de parachoques e plásticos, restaurador de parachoques e plásticos, renovador de plásticos de exterior e borrachas
Revitalizador de Plástico;renovador de plástico, rejuvenescedor de plásticos, restaurador de plástico
Revitalizador de Plástico e Borracha;revitalizador de plásticos, restaurador de plásticos, renovador de borrachas
Revitalizador Líquido Farol;renovador de faróis, restaurador de lentes, revitalizador de plásticos
Revitalizador Painel;borracha de silicone, selante de silicone, vedante de silicone
Revitalizador para Faróis;líquido restaurador de faróis, revitalizador de faróis, kit de renovação de faróis
Revitalizador Plástico;renovador de plásticos, restaurador de plásticos, protetor de plásticos
Revitalizador Plásticos e Borrachas;renovador de plásticos, renovador de barrachas, restaurador de plásticos, restaurador de barrachas
Sachê Aromatizador;perfume em saquinho, fragrância em bolsinha, essência em sachê
Sanitizante;desinfetante, esterilizante, higienizador
Selante para Radiador;produto para selagem de vazamentos no radiador, selante para reparo de vazamentos, adesivo para vedação de vazamentos
Shampoo;produto de limpeza para carros, sabão automotivo, detergente para carros
Shampoo Automotivo;shampoo para carros, shampoo para lava car, shampoo para automóveis
Shampoo com Cera;shampoo para carros com cera, shampoo com cera protetora, shampoo lava autos com cera
Shampoo Lava Autos;shampoo para carros, shampoo para lava car, shampoo automotivo
Shampoo Lava Carros;shampoo para lava car, shampoo para carros, shampoo automotivo
Shampoo para Limpeza a Seco;shampoo a seco para carros, shampoo para lava car, shampoo para lavagem a seco
Silenciador para Freios;lubrificante para freios, silenciador de pastilhas de freio, spray para freios
Silicone;spray de silicone, aerossol de silicone, lubrificante de silicone
Silicone Acético;silicone selante, silicone de vedação, silicone branco
Silicone Aerossol;silicone para automóveis, silicone para carros, silicone para motor
Silicone Alta Temperatura;silicone alta temperatura vermelho, silicone de alta temperatura cinza, silicone para motor
Silicone Automotivo;silicone em pasta, silicone em pomada, silicone em pote
Silicone Bisnaga;silicone bisnaga de 50g, bisnaga de silicone, silicone para reparos rápidos
Silicone de Alta Temperatura;silicone para altas temperaturas
Silicone em Gel;silicone em gel, silicone em spray, silicone em tubo
Silicone Líquido;silicone líquido, óleo de silicone, lubrificante de silicone líquido
Silicone Preto;silicone preto para vedação, silicone preto para juntas, silicone preto automotivo
Silicone Spray;spray de silicone, lubrificante de silicone, vedante de silicone em spray
Silicone Spray;spray lubrificante de silicone, silicone aerossol, lubrificante spray de silicone
Silicone Tradicional em Gel;silicone em gel tradicional, silicone em bisnaga tradicional, silicone em pasta tradicional
Sobre Tampa Cubo;capa de cubo de roda, capa para cubo de roda, tampa para cubo de roda
Solução Radiador;solução para arrefecimento, líquido para radiador, líquido de arrefecimento
Som Automotivo;sistema de som para carros, equipamento de áudio para veículos, aparelho de som veicular
Som Automotivo;sistema de som para carro, equipamento de áudio automotivo, sistema de áudio para veículos
Soquete Chave;soquete com chave, chave soquete, soquete de chave combinada
Soquete de Impacto;soquete para impacto, soquete de encaixe de impacto, soquete resistente ao impacto
Soquete Estriado;soquete de encaixe estriado, soquete com estrias, soquete de encaixe com dentes
Soquete Impacto;soquete para impacto, soquete de encaixe de impacto, soquete resistente ao impacto
Soquete Sextavado;soquete de encaixe sextavado, soquete com seis lados, soquete hexagonal
Soquete Torx;soquete de encaixe torx, soquete com ponta torx, soquete com encaixe estrela
Spray Aromatizante;perfume em spray, fragrância em pulverizador, essência em aerossol
Spray Graxa para Corrente;spray lubrificante para corrente, spray de graxa, lubrificante em spray
Spray Impermeabilizante;spray de impermeabilização, spray de proteção, spray de vedação
Superior Cola Instantanêa;cola instantânea super bonder, cola instantânea 3m, cola instantânea loctite
Superior Pano Colméia;pano colméia, pano de limpeza colméia, pano de microfibra em colméia
Superior Toalha Enxuga;toalha de secagem, toalha de limpeza, toalha multiuso
Suporte Antiderrapante para Celular;suporte antiderrapante, suporte para celular antiderrapante, suporte para celular com base antiderrapante
Suporte Celular Magnético;suporte magnético para celular de carro, suporte magnético para celular veicular, suporte de celular com imã
Suporte com Capa para Celular;capa com suporte para celular, suporte para celular com capa protetora, capa suporte para celular
Suporte com Capa para Gps;capa com suporte para gps, suporte para gps com capa protetora, capa suporte para gps
Suporte Cromado;suporte de metal cromado, suporte de cromo, suporte com acabamento cromado
Suporte Cromado para Antena;suporte cromado de antena, suporte para antena com acabamento cromado, suporte para antena de metal cromado
Suporte de Fixação Central;suporte de fixação, suporte de fixação universal, suporte central para instalação
Suporte de Rádio Px;suporte para rádio px, suporte para rádio px/tx, suporte para rádio comunicador
Suporte Garrafa para Bike;suporte de garrafa para bicicleta, porta garrafa para bike, suporte para squeeze de bicicleta
Suporte Gps;suporte para gps de carro, suporte para navegador gps, suporte veicular para gps
Suporte Magnético para Celular;suporte magnético para celular veicular, suporte magnético para celular com fixação magnética, suporte veicular magnético para celular
Suporte Multifuncional;suporte para celular multifuncional, suporte multifuncional para tablet, suporte universal multifuncional
Suporte Multiuso;suporte para celular multiuso, suporte para tablet multiuso, suporte universal multiuso
Suporte para Antena;suporte de antena, suporte para antena externa, base para antena
Suporte para Bike;suporte para celular de bicicleta, suporte para gps de bicicleta, suporte de guidão para bicicleta
Suporte para Celular;suporte para smartphone, suporte para telefone, suporte de mesa para celular
Suporte para Gps;suporte para navegador, suporte para gps veicular, suporte para gps de moto
Suporte para Moldura de Som;suporte de moldura, suporte para instalação de moldura, suporte para fixação de moldura
Suporte para Moto;suporte para celular de moto, suporte para gps de moto, suporte de guidão para moto
Suporte Tablet Ipad;suporte para tablet ipad, suporte para ipad, suporte de mesa para tablet
Suporte Traseiro para Antena;suporte de antena traseiro, base para antena de carro, suporte para antena de teto
Suporte Univeral para Antena;suporte para antena universal, suporte para antena com encaixe universal, base para antena ajustável
Suporte Universal;suporte para celular universal, suporte para tablet universal, suporte veicular universal
Suporte Veicular;suporte de celular para carro, suporte para gps veicular, suporte para tablet de carro
Suporte Veicular para Smartphone;suporte para celular de carro, suporte para smartphone veicular, suporte de celular para automóvel
Suporte Veicular para Tablet;suporte para tablet de carro, suporte para tablet veicular, suporte de tablet para automóvel
Suporte Zincado;suporte de antena zincado, suporte para antena com acabamento em zinco, base para antena galvanizada
Tampa da Caixa de Ferramenta;tampa de caixa de ferramentas, tampa de compartimento, tampa de armazenamento
Tampa de Válvula de Pneu;capa de válvula de pneu, protetor de válvula de pneu, tampa de proteção de válvula de pneu
Tampa do Cubo;tampa do cubo de roda, tampa de centro de roda, tampa decorativa para cubo de roda
Tampa Plástica para Válvula;capa plástica para válvula, protetor de válvula plástica, tampa de proteção plástica para válvula
Tampa Válvula de Pneu;capa de válvula de pneu, protetor de válvula de pneu, tampa de proteção de válvula de pneu
Tapa Dvd;tapa radio, tapa buraco dvd, tapa buraco som automotivo
Tinta Spray;tinta em spray, tinta aerosol, tinta em lata
Tira Cheiro;neutralizador de odores, eliminador de cheiros, absorvedor de maus odores
Tira Cheiro Aerossol;desodorizador de ambientes, neutralizador de odores, eliminador de odores
Tira Elimina Riscos;removedor de riscos, limpador de arranhões, restaurador de superfícies riscadas
Tira Manchas de Vidro;removedor de manchas de vidro, tira manchas de vidro profissional, removedor de sujeira de vidros
Tira Piche em Aerossol;removedor de graxa, removedor de cola, removedor de adesivos
Tira Silicone;removedor de silicone, tira silicone automotivo, removedor de resíduos de silicone
Toalha;toalha de secagem, toalha de limpeza, toalha multiuso
Toalha de Microfibra;toalha de microfibra, toalha de limpeza, toalha de secagem
Toalha Seca;toalha de seca, toalha de secagem rápida, toalha absorvente
Toalha Smart;toalha inteligente, toalha de limpeza inteligente
Transferidor de Ar para Pneu;inflador de pneus, transferidor de ar para pneus, medidor de pressão para pneus
Válvula para Pneu de Caminhões;válvula para pneus de veículos pesados, válvula de pneu de caminhão, válvula de pneu de ônibus
Válvula para Pneus sem Câmara;válvula tubeless, válvula para pneus sem câmara de ar, válvula para pneus tubeless
Válvula Pneu sem Câmara;válvula tubeless, válvula para pneus sem câmara de ar, válvula para pneus tubeless
Vaselina Líquida;lubrificante líquido, vaselina automotiva
Vaselina Sólida;lubrificante sólido, graxa sólida, vaselina em pasta
Vaselina Spray;spray de vaselina, lubrificante em spray, vaselina em spray.
Veda Fresta Adesiva;veda frestas e juntas, veda frestas transparente, veda frestas de silicone
Veda Furo para Pneu;líquido selante para pneus, selante instantâneo para pneus, veda furo instantâneo
Veda Furo Pneu;selante para pneus sem câmara, selante para pneus tubeless
Vitrificador para Plástico;protetor de plástico, revestimento para plásticos, selante de plástico
Woofer Medio Grave;alto-falante de grave, falante para médio-grave, woofer de baixa frequência
